URL,Base Directory,Path,Form,Form Entry,Presentation Template
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_my_ncbi_sciencv2.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_my_ncbi_sciencv2.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_my_ncbi_sciencv2.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_new_granting_orgs.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_new_granting_orgs.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_new_granting_orgs.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_nlm_classification_2014.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_nlm_classification_2014.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_nlm_classification_2014.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/mj14/mj14_umls_2014aa_release.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/mj14/mj14_umls_2014aa_release.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/mj14/mj14_umls_2014aa_release.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/nd13/nd13_mesh.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/nd13/nd13_mesh.html,templatedata/techbulletins/techarticleV3/datacapture.cfg,templatedata/techbulletins/techarticleV3/data/pubs/techbull/nd13/nd13_mesh.dcr,templatedata/techbulletins/techarticleV3/presentation/techarticle.tpl
http://www.nlm.nih.gov/pubs/techbull/so13/brief/so13_author_affiliations.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/so13/brief/so13_author_affiliations.html,templatedata/techbulletins/technoteV3/datacapture.cfg,templatedata/techbulletins/technoteV3/data/pubs/techbull/so13/brief/so13_author_affiliations.dcr,templatedata/techbulletins/technoteV3/presentation/technote.tpl
http://www.nlm.nih.gov/pubs/techbull/stay_current.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/stay_current.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/stay_current.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/tb.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/tb.html,,,
http://www.nlm.nih.gov/pubs/techbull/tbindex1996/a_96.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/tbindex1996/a_96.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/tbindex1996/a_96.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/pubs/techbull/tbindex/a.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/pubs/techbull/tbindex/a.html,templatedata/techbulletins/genericV3/datacapture.cfg,templatedata/techbulletins/genericV3/data/pubs/techbull/tbindex/a.dcr,templatedata/techbulletins/genericV3/presentation/simple.tpl
http://www.nlm.nih.gov/regional-activities.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/regional-activities.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/regional-activities.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/research/umls/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/research/umls/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/research/umls/index~2.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/research/umls/quickstart.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/research/umls/quickstart.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/research/umls/quickstart.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/research/umls/rxnorm/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/research/umls/rxnorm/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/research/umls/rxnorm/rxnorm_main.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/robots.txt,,,,,
http://www.nlm.nih.gov/sitemap.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/sitemap.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/sitemap.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/socialmedia/index.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/socialmedia/index.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/socialmedia/index.dcr,templatedata/internet/main/presentation/nlm.tpl
http://www.nlm.nih.gov/training.html,/iwmnt/default/main/nlm/WORKAREA/johnsonpd,htdocs/training.html,templatedata/internet/main/datacapture.cfg,templatedata/internet/main/data/training.dcr,templatedata/internet/main/presentation/nlm.tpl
http://nihseniorhealth.gov/about.html,/iwmnt/default/main/nihseniorhealth/WORKAREA/johnsonpd,htdocs/about.html,templatedata/site/simple/datacapture.cfg,templatedata/site/simple/data/about.dcr,templatedata/site/simple/presentation/simple.tpl
http://nihseniorhealth.gov/accentHelp.html,/iwmnt/default/main/nihseniorhealth/WORKAREA/johnsonpd,htdocs/accentHelp.html,templatedata/site/simple/datacapture.cfg,templatedata/site/simple/data/accentHelp.dcr,templatedata/site/simple/presentation/simple.tpl
